feature,source,available_at_prediction,leakage_risk,in_dataset,distinct_values,used_by_rf_winner,used_by_ridge_finalist,basis
model_hybrid_share,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
model_turbo_share,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
model_firstreg_total_2014_2026,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
model_firstreg_year_span,Traficom registry aggregate,yes,none,True,1,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
model_firstreg_peak_year,Traficom registry aggregate,yes,none,True,2,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
model_firstreg_peak_count,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
model_firstreg_recent_share,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
model_firstreg_old_share,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
model_firstreg_weighted_year,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_total_registered,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_median_vehicle_age,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_mean_vehicle_age,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_median_mileage,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_mean_mileage,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_median_engine_cc,Traficom registry aggregate,yes,none,True,2,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_median_power_kw,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_median_mass_kg,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_share_of_market,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_share_over_10y,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_share_over_200k_km,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_automatic_share,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_petrol_share,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_diesel_share,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_ev_share,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_hybrid_share,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_turbo_share,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_firstreg_total_2014_2026,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_firstreg_year_span,Traficom registry aggregate,yes,none,True,1,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_firstreg_peak_year,Traficom registry aggregate,yes,none,True,2,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_firstreg_peak_count,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_firstreg_recent_share,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_firstreg_old_share,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
brand_firstreg_weighted_year,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
mileage_missing_flag,derived listing flag,yes,none,True,2,False,True,no recorded decision
observations_so_far,listing history up to the snapshot,only for parts already listed,medium,True,6,False,True,"AGENTS.md Leakage-Sensitive Features (listing and price history); the four price_*_so_far columns are in COMMON_LEAKAGE_RISK_FEATURES, the two count/day columns are in no exclusion set and no record explains why"
days_since_first_seen_so_far,listing history up to the snapshot,only for parts already listed,medium,True,6,False,True,"AGENTS.md Leakage-Sensitive Features (listing and price history); the four price_*_so_far columns are in COMMON_LEAKAGE_RISK_FEATURES, the two count/day columns are in no exclusion set and no record explains why"
price_changed_flag_so_far,listing history up to the snapshot,only for parts already listed,medium,True,2,False,False,"AGENTS.md Leakage-Sensitive Features (listing and price history); the four price_*_so_far columns are in COMMON_LEAKAGE_RISK_FEATURES, the two count/day columns are in no exclusion set and no record explains why"
price_change_count_so_far,listing history up to the snapshot,only for parts already listed,medium,True,6,False,False,"AGENTS.md Leakage-Sensitive Features (listing and price history); the four price_*_so_far columns are in COMMON_LEAKAGE_RISK_FEATURES, the two count/day columns are in no exclusion set and no record explains why"
absolute_price_change_so_far,listing history up to the snapshot,only for parts already listed,medium,True,339,False,False,"AGENTS.md Leakage-Sensitive Features (listing and price history); the four price_*_so_far columns are in COMMON_LEAKAGE_RISK_FEATURES, the two count/day columns are in no exclusion set and no record explains why"
relative_price_change_pct_so_far,listing history up to the snapshot,only for parts already listed,medium,True,851,False,False,"AGENTS.md Leakage-Sensitive Features (listing and price history); the four price_*_so_far columns are in COMMON_LEAKAGE_RISK_FEATURES, the two count/day columns are in no exclusion set and no record explains why"
times_observed,"listing history, whole scrape window",no,high,True,6,False,False,src/tree_modeling.py COMMON_LEAKAGE_RISK_FEATURES: full-history variables that would leak future information; AGENTS.md Leakage-Sensitive Features
first_seen_date,scrape timing,no,medium,True,6,False,False,"AGENTS.md Leakage-Sensitive Features (first_seen_date, last_seen_date, scrape timing); excluded by RECOMMENDED_EXCLUDED_FEATURES / RANDOM_FOREST_LEAKAGE_ONLY and the *_without_listing_dates / *_without_date_offsets variants"
last_seen_date,scrape timing,no,medium,True,6,False,False,"AGENTS.md Leakage-Sensitive Features (first_seen_date, last_seen_date, scrape timing); excluded by RECOMMENDED_EXCLUDED_FEATURES / RANDOM_FOREST_LEAKAGE_ONLY and the *_without_listing_dates / *_without_date_offsets variants"
observed_span_days,"listing history, whole scrape window",no,high,True,6,False,False,src/tree_modeling.py COMMON_LEAKAGE_RISK_FEATURES: full-history variables that would leak future information; AGENTS.md Leakage-Sensitive Features
price_changed_flag,"listing history, whole scrape window",no,high,True,2,False,False,src/tree_modeling.py COMMON_LEAKAGE_RISK_FEATURES: full-history variables that would leak future information; AGENTS.md Leakage-Sensitive Features
price_change_count,"listing history, whole scrape window",no,high,True,6,False,False,src/tree_modeling.py COMMON_LEAKAGE_RISK_FEATURES: full-history variables that would leak future information; AGENTS.md Leakage-Sensitive Features
absolute_price_change,"listing history, whole scrape window",no,high,True,108,False,False,src/tree_modeling.py COMMON_LEAKAGE_RISK_FEATURES: full-history variables that would leak future information; AGENTS.md Leakage-Sensitive Features
relative_price_change_pct,"listing history, whole scrape window",no,high,True,264,False,False,src/tree_modeling.py COMMON_LEAKAGE_RISK_FEATURES: full-history variables that would leak future information; AGENTS.md Leakage-Sensitive Features
first_seen_day_offset,scrape timing,no,medium,False,0,False,False,"AGENTS.md Leakage-Sensitive Features (first_seen_date, last_seen_date, scrape timing); excluded by RECOMMENDED_EXCLUDED_FEATURES / RANDOM_FOREST_LEAKAGE_ONLY and the *_without_listing_dates / *_without_date_offsets variants"
last_seen_day_offset,"listing history, whole scrape window",no,high,False,0,False,False,src/tree_modeling.py COMMON_LEAKAGE_RISK_FEATURES: full-history variables that would leak future information; AGENTS.md Leakage-Sensitive Features
listing_midpoint_day_offset,"listing history, whole scrape window",no,high,False,0,False,False,src/tree_modeling.py COMMON_LEAKAGE_RISK_FEATURES: full-history variables that would leak future information; AGENTS.md Leakage-Sensitive Features
